<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13/10/22,000000,3503.75,3685.41,3491.58,3669.91,59732
14/10/22,000000,3695.09,3712,3579.68,3583.07,59640
17/10/22,000000,3649.32,3689.73,3641.41,3677.95,59756
18/10/22,000000,3758.43,3762.79,3686.53,3719.98,60205
19/10/22,000000,3700.79,3728.58,3666.51,3695.16,60259
20/10/22,000000,3689.05,3736,3656.44,3665.78,60148
21/10/22,000000,3656.84,3757.89,3647.42,3752.75,59424
24/10/22,000000,3768.36,3810.74,3741.65,3797.34,59922
25/10/22,000000,3800.2,3862.85,3800.16,3859.11,59441
26/10/22,000000,3824.97,3886.15,3824.07,3830.6,57689
27/10/22,000000,3840.44,3859.95,3803.79,3807.3,60234
28/10/22,000000,3808.26,3905.42,3808.26,3901.06,59900
31/10/22,000000,3876.18,3893.73,3863.18,3871.98,60066
01/11/22,000000,3910.15,3911.79,3843.8,3856.1,59838
02/11/22,000000,3850.09,3894.39,3758.68,3759.69,58263
03/11/22,000000,3723.09,3750.59,3698.15,3719.89,59889
04/11/22,000000,3779.89,3796.34,3708.84,3770.55,60180
07/11/22,000000,3784.61,3813.95,3764.7,3806.8,62358
08/11/22,000000,3819.45,3859.4,3786.28,3828.11,63005
09/11/22,000000,3806.51,3818.2,3744.22,3748.57,63202
10/11/22,000000,3878.77,3958.31,3864.75,3956.37,63263
11/11/22,000000,3963.72,4001.48,3944.82,3992.93,63702
14/11/22,000000,3977.97,4008.97,3956.41,3957.25,63066
15/11/22,000000,4020.53,4028.84,3953.17,3991.73,63482
16/11/22,000000,3973.48,3983.09,3954.34,3958.79,62939
17/11/22,000000,3911.41,3954.33,3906.54,3946.56,62987
18/11/22,000000,3978.47,3979.89,3935.98,3965.34,62484
21/11/22,000000,3956.23,3962,3933.34,3949.94,62479
22/11/22,000000,3970.18,4005.58,3956.88,4003.58,61484
23/11/22,000000,3999.24,4033.78,3998.66,4027.26,61935
25/11/22,000000,4022.85,4034.02,4020.76,4026.12,36593
28/11/22,000000,3995.45,4012.27,3955.77,3963.94,61579
29/11/22,000000,3964.63,3976.77,3937.65,3957.63,62300
30/11/22,000000,3958.26,4080.11,3938.58,4080.11,62661
01/12/22,000000,4087.14,4100.51,4050.87,4076.57,62804
02/12/22,000000,4026.63,4080.48,4026.63,4071.7,61975
05/12/22,000000,4052.02,4052.45,3984.49,3998.84,62352
06/12/22,000000,3996.15,4001.51,3918.39,3941.26,62911
07/12/22,000000,3929.65,3957.57,3922.68,3933.92,62856
08/12/22,000000,3947.79,3974.19,3935.83,3963.51,62585
09/12/22,000000,3953.53,3977.02,3933.04,3934.38,62344
12/12/22,000000,3941.85,3990.71,3935.3,3990.56,62046
13/12/22,000000,4087.26,4100.96,3993.03,4019.65,63596
14/12/22,000000,4016.59,4053.76,3965.65,3995.32,62787
15/12/22,000000,3958.37,3958.37,3879.45,3895.75,63110
16/12/22,000000,3871.6,3881.74,3827.91,3852.36,62984
19/12/22,000000,3853.57,3854.86,3800.04,3817.66,60142
20/12/22,000000,3808.36,3838.24,3795.62,3821.62,63208
21/12/22,000000,3846.58,3889.82,3844.01,3878.44,62095
22/12/22,000000,3849.39,3850.08,3764.49,3822.39,63023
23/12/22,000000,3814.19,3845.8,3797.01,3844.82,62678
27/12/22,000000,3843.88,3846.65,3813.22,3829.25,62081
28/12/22,000000,3829.56,3848.32,3780.78,3783.22,62394
29/12/22,000000,3809.19,3858.19,3807.18,3849.28,61536
30/12/22,000000,3821.78,3839.85,3800.34,3839.5,61606
03/01/23,000000,3859.11,3878.46,3794.33,3824.14,62739
04/01/23,000000,3843.54,3873.16,3815.77,3852.97,63109
05/01/23,000000,3832.76,3833.83,3802.42,3808.1,62490
06/01/23,000000,3837.07,3906.19,3809.56,3895.08,62585
09/01/23,000000,3915.97,3950.57,3890.42,3892.09,62361
10/01/23,000000,3888.57,3919.78,3877.29,3919.25,62312
