<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
15/08/22,000000,2173,2175,2173,2173.5,5
16/08/22,000000,2192,2192,2157.5,2157.5,5
17/08/22,000000,2140,2141,2112.75,2112.75,5
18/08/22,000000,2126,2126,2068,2068,3
19/08/22,000000,2070,2070,2038,2038,4
22/08/22,000000,2031,2032,2008.75,2008.75,4
23/08/22,000000,2005,2005,1969.75,1969.75,5
24/08/22,000000,1958,1967.5,1958,1967.5,4
25/08/22,000000,1995,1997,1972.44,1972.44,5
26/08/22,000000,1997,1997.5,1983.61,1983.61,4
30/08/22,000000,1978,1983.5,1978,1983.5,5
31/08/22,000000,1955,1955,1946.25,1946.25,5
01/09/22,000000,1917,1917,1899.25,1899.25,5
02/09/22,000000,1890,1890,1885.25,1885.25,3
05/09/22,000000,1880,1882,1873.25,1873.25,5
06/09/22,000000,1895,1895,1891.7,1891.7,4
07/09/22,000000,1895,1901,1895,1901,3
08/09/22,000000,1907,1907,1880.75,1880.75,4
09/09/22,000000,1918,1918,1915.25,1915.25,3
12/09/22,000000,1928,1944.12,1928,1944.12,4
13/09/22,000000,1956,1956,1948,1948,4
14/09/22,000000,1929,1954.75,1929,1954.75,5
15/09/22,000000,1936,1936,1906.25,1906.25,4
16/09/22,000000,1880,1882,1874,1874,4
19/09/22,000000,1882,1882,1865.5,1865.5,3
20/09/22,000000,1874,1874,1862.25,1862.25,3
21/09/22,000000,1846,1847,1820,1820,4
22/09/22,000000,1877,1877,1837.26,1837.26,3
23/09/22,000000,1800,1802,1787.5,1787.5,4
26/09/22,000000,1775,1776,1739,1739,7
27/09/22,000000,1754,1754,1737.5,1737.5,4
28/09/22,000000,1763,1830.5,1763,1830.5,5
29/09/22,000000,1855.5,1877,1855.5,1877,5
30/09/22,000000,1888,1912.15,1888,1912.15,5
03/10/22,000000,1865,1865.5,1863.25,1863.25,5
04/10/22,000000,1877,1958.5,1877,1958.5,3
05/10/22,000000,1965.5,2075.25,1965.5,2075.25,3
06/10/22,000000,2053,2081.25,2048,2081.25,5
07/10/22,000000,2078,2116,2078,2116,3
10/10/22,000000,2090,2096,2024.5,2024.5,5
11/10/22,000000,2030,2057.49,2030,2057.49,3
12/10/22,000000,2075,2080,2070.25,2076.25,4
13/10/22,000000,2079,2092,2079,2092,5
14/10/22,000000,2056,2075.5,2056,2075.5,7
17/10/22,000000,2075,2077,2062.5,2062.5,4
18/10/22,000000,2044,2049.5,2044,2049.5,4
19/10/22,000000,2007,2018.25,2007,2018.25,3
20/10/22,000000,1989,2000.5,1989,2000.5,3
21/10/22,000000,1930,1930,1911.5,1911.5,6
24/10/22,000000,1935,1937,1904,1904,5
25/10/22,000000,1893,1893,1880,1880,4
26/10/22,000000,1899,1900,1899,1899.25,4
27/10/22,000000,1885,1885,1870.5,1870.5,3
28/10/22,000000,1942,2003.5,1942,2003.5,3
31/10/22,000000,1965,1977.58,1965,1977.58,6
01/11/22,000000,2007,2009,1986.75,1986.75,6
02/11/22,000000,1978,2000.99,1975,2000.99,6
03/11/22,000000,1985.5,2005.5,1985.5,2005.5,5
04/11/22,000000,2020,2022,2005.55,2005.55,4
07/11/22,000000,2013,2041.75,2013,2041.75,5
08/11/22,000000,2030,2060.5,2030,2060.5,3
09/11/22,000000,2060,2085,2060,2085,5
10/11/22,000000,2065,2099.5,2055,2099.5,6
11/11/22,000000,2156,2165.5,2156,2165.5,5
14/11/22,000000,2175,2194.5,2175,2194.5,3
15/11/22,000000,2215,2220.75,2212.5,2220.75,7
16/11/22,000000,2209,2209,2166.75,2166.75,4
17/11/22,000000,2147,2147,2139,2139,3
18/11/22,000000,2172,2175,2141.05,2141.05,5
21/11/22,000000,2113,2113,2082.25,2082.25,3
22/11/22,000000,2095,2095.5,2077,2077,5
23/11/22,000000,2082,2094.5,2082,2094.5,3
24/11/22,000000,2126,2128,2119.25,2119.25,5
25/11/22,000000,2135,2135,2105.5,2105.5,3
28/11/22,000000,2107,2107,2103.5,2103.5,4
29/11/22,000000,2122,2123,2122,2123,4
30/11/22,000000,2160,2181.75,2160,2181.75,5
01/12/22,000000,2155,2161,2155,2161,3
02/12/22,000000,2168,2189.75,2168,2189.75,5
05/12/22,000000,2195,2225,2194,2225,4
06/12/22,000000,2209,2210,2206.5,2206.5,4
07/12/22,000000,2206,2206,2196.25,2196.25,3
08/12/22,000000,2197,2199,2197,2198.75,4
09/12/22,000000,2206,2207,2180,2192,7
