<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
22/11/22,000000,7901.39392,8088.78747,7879.34762,7995.090695,44328
23/11/22,000000,7996.19301,8061.229595,7916.82633,8040.28561,27903
24/11/22,000000,8040.28561,8102.01525,7989.57912,8024.8532,14933
25/11/22,000000,8024.8532,8131.777755,7960.91893,7981.862915,19649
27/11/22,000000,7903.59855,7930.05411,7865.017525,7869.426785,1101
28/11/22,000000,7870.5291,7984.067545,7806.59483,7922.337905,14725
29/11/22,000000,7923.44022,8106.42451,7915.724015,8029.26246,1740
30/11/22,000000,8030.364775,8368.77548,8011.62542,8361.059275,74383
01/12/22,000000,8358.854645,8427.198175,8234.29305,8369.877795,53348
02/12/22,000000,8368.77548,8520.89495,8255.237035,8501.05328,54088
04/12/22,000000,8494.43939,8540.73662,8490.03013,8524.201895,1084
05/12/22,000000,8440,8440,8440,8440,1
06/12/22,000000,8355,8412,8355,8384.75,4
07/12/22,000000,8427.198175,8540.73662,8322.47825,8485.62087,48340
08/12/22,000000,8487.8255,8625.614875,8450.34679,8561.680605,44571
09/12/22,000000,8495,8495,8490,8490.5,1
11/12/22,000000,8508.769485,8508.769485,8466.881515,8475.700035,461
12/12/22,000000,8474.59772,8502.155595,8346.72918,8387.514835,41203
13/12/22,000000,8387.514835,8661.99127,8385.310205,8481.21161,57852
14/12/22,000000,8508.769485,8580.41996,8428.30049,8512.07643,37466
15/12/22,000000,8512.07643,8526.406525,8282.79491,8337.91066,55760
16/12/22,000000,8337.91066,8388.61715,8229.88379,8309.25047,40921
18/12/22,000000,8310.352785,8331.29677,8309.25047,8323.580565,507
19/12/22,000000,8330,8331,8280,8303.25,4
20/12/22,000000,8302,8333.75,8301,8333.75,3
21/12/22,000000,8327,8369.5,8327,8369.5,3
22/12/22,000000,8344,8345.5,8290.5,8290.5,3
23/12/22,000000,8307,8328,8307,8328,3
26/12/22,000000,8465.7792,8530.815785,8461.36994,8503.25791,1844
27/12/22,000000,8504.360225,8689.549145,8448.14216,8488.927815,43186
28/12/22,000000,8450,8451,8426,8426,3
29/12/22,000000,8395,8409.5,8394,8409.5,3
30/12/22,000000,8400,8400,8364.76,8364.76,3
02/01/23,000000,8455.858365,8484.518555,8444.835215,8465.7792,1152
03/01/23,000000,8390,8390,8307,8307,4
04/01/23,000000,8226,8236,8208,8236,4
05/01/23,000000,8420,8420,8361.5,8361.5,3
06/01/23,000000,8363,8569.9,8362.5,8569.9,3
08/01/23,000000,8649.865805,8793.166755,8649.865805,8763.40425,4412
09/01/23,000000,8600,8833,8600,8833,7
10/01/23,000000,8770,8890.5,8766,8890.5,3
11/01/23,000000,8987,9115,8987,9107.5,4
12/01/23,000000,9071,9169.05,9071,9169.05,3
13/01/23,000000,9110,9168.55,9106,9168.55,3
15/01/23,000000,9282.594615,9306.845545,9271.571465,9271.571465,563
16/01/23,000000,9145,9145.5,9088.19,9088.19,3
17/01/23,000000,9090,9282.99,9090,9282.99,5
18/01/23,000000,9436,9436,9326,9326,3
19/01/23,000000,9190,9301,9190,9301,3
20/01/23,000000,9232,9307.76,9232,9307.76,3
22/01/23,000000,9434.714085,9440.22566,9408.258525,9417.077045,723
23/01/23,000000,9340,9340.5,9330.77,9330.77,3
24/01/23,000000,9308,9308,9291.01,9291.01,3
25/01/23,000000,9260,9289.5,9258,9289.5,3
26/01/23,000000,9288,9306.5,9288,9306.5,4
27/01/23,000000,9346,9346,9242.24,9242.24,3
29/01/23,000000,9325.5849,9345.42657,9317.868695,9337.710365,851
30/01/23,000000,9347.6312,9347.6312,9188.35,9188.35,66
31/01/23,000000,9070,9199.55,9070,9199.55,3
01/02/23,000000,9175,9175,9060.5,9078.66634,7
02/02/23,000000,9158.03302,9162.44228,8986,8986,15
03/02/23,000000,9060,9060,8930,8951.25,6
05/02/23,000000,8910.012145,8921.035295,8884.6589,8918.830665,1107
06/02/23,000000,8891,8896.784365,8838,8896.784365,14
07/02/23,000000,8850,8893,8850,8893,4
08/02/23,000000,8968.43484,9006,8863.75,8863.75,5
09/02/23,000000,8960,8960,8952.24,8952.24,3
10/02/23,000000,8904,8905,8828.76,8828.76,6
12/02/23,000000,8853.79408,8853.79408,8853.79408,8853.79408,1
13/02/23,000000,8911,8956.309375,8910,8956.309375,4
14/02/23,000000,8931,9024.652905,8921,8921,185
15/02/23,000000,8914.421405,8916.626035,8790,8873.63575,223
16/02/23,000000,8890,8991.5,8890,8991.5,3
17/02/23,000000,9054.41541,9054.41541,8871,8950.25,7
19/02/23,000000,9096.30338,9096.30338,9077.564025,9083.0756,507
20/02/23,000000,9015,9115.5,9015,9115.5,3
21/02/23,000000,9102,9183.5,9102,9183.5,3
22/02/23,000000,9121,9121,9103,9103,4
23/02/23,000000,9056,9060,8884.99,8884.99,3
24/02/23,000000,8955.20706,8955.20706,8670,8716.004705,9
26/02/23,000000,8723.72091,8762.301935,8717.10702,8757.892675,85
27/02/23,000000,8750,8844.97556,8750,8844.97556,35
28/02/23,000000,8904.50057,8951,8843,8951,25
01/03/23,000000,9070,9084,9066,9084,4
02/03/23,000000,8895,8928.1,8895,8928.1,3
03/03/23,000000,8945,8991.583455,8945,8991.583455,168
05/03/23,000000,8961.82095,8971.741785,8891.27279,8921.035295,1694
06/03/23,000000,8815,8893.25,8815,8893.25,3
07/03/23,000000,8983.86725,8984.969565,8737.5,8737.5,11
08/03/23,000000,8720,8886,8720,8886,4
09/03/23,000000,8810,8870,8808,8832.3,4
10/03/23,000000,8755,8847,8755,8847,3
12/03/23,000000,8835.054725,8934.263075,8825.13389,8890.170475,3299
13/03/23,000000,8745,8918.25,8651,8918.25,7
14/03/23,000000,8905,8905,8809,8831.74778,5
15/03/23,000000,8650,8650,8480,8558.37366,213
16/03/23,000000,8535,8535,8508.75,8508.75,3
17/03/23,000000,8625,8625,8573.25,8573.25,3
19/03/23,000000,8653.17275,8653.17275,8650.96812,8652.070435,5
20/03/23,000000,8676,8701.25,8676,8701.25,3
